ticker,name,days_since_ipo,morningstar_sector,morningstar_industry,fossil_fuels,weapons,tobacco
NOC,Northrop Grumman Corp,14400,Industrials,Aerospace & Defense,FALSE,TRUE,FALSE
NOW,ServiceNow Inc,4529,Technology,Software - Application,FALSE,FALSE,FALSE
NRG,NRG Energy Inc,11356,Utilities,Utilities - Independent Power Producers,TRUE,FALSE,FALSE
NSC,Norfolk Southern Corp,15514,Industrials,Railroads,TRUE,FALSE,FALSE
NTAP,NetApp Inc,10593,Technology,Computer Hardware,FALSE,FALSE,FALSE
NTRS,Northern Trust Corp,12660,Financial Services,Asset Management,FALSE,FALSE,FALSE
NUE,Nucor Corp,19126,Basic Materials,Steel,TRUE,FALSE,FALSE
NVDA,NVIDIA Corp,9435,Technology,Semiconductors,FALSE,FALSE,FALSE
NVR,NVR Inc,14038,Consumer Cyclical,Residential Construction,FALSE,FALSE,FALSE
NWS,News Corp,4174,Communication Services,Entertainment,FALSE,FALSE,FALSE
NWSA,News Corp,4174,Communication Services,Entertainment,FALSE,FALSE,FALSE
NXPI,NXP Semiconductors NV,5221,Technology,Semiconductors,FALSE,FALSE,FALSE
O,Realty Income Corp,10993,Real Estate,REIT - Retail,FALSE,FALSE,FALSE
ODFL,Old Dominion Freight Line Inc,12083,Industrials,Trucking,FALSE,FALSE,FALSE
OKE,ONEOK Inc,25750,Energy,Oil & Gas Midstream,TRUE,FALSE,FALSE
OMC,Omnicom Group Inc,12567,Communication Services,Advertising Agencies,FALSE,FALSE,FALSE
ON,ON Semiconductor Corp,8974,Technology,Semiconductors,FALSE,FALSE,FALSE
ORCL,Oracle Corp,14135,Technology,Software - Infrastructure,FALSE,FALSE,FALSE
ORLY,O'Reilly Automotive Inc,11537,Consumer Cyclical,Specialty Retail,FALSE,FALSE,FALSE
OTIS,Otis Worldwide Corp,1710,Industrials,Specialty Industrial Machinery,FALSE,FALSE,FALSE
OXY,Occidental Petroleum Corp,14064,Energy,Oil & Gas E&P,TRUE,FALSE,FALSE
PANW,Palo Alto Networks Inc,4508,Technology,Software - Infrastructure,FALSE,FALSE,FALSE
PARA,Paramount Global,31889,Communication Services,Entertainment,FALSE,FALSE,FALSE
PAYC,Paycom Software Inc,3874,Technology,Software - Application,FALSE,FALSE,FALSE
PAYX,Paychex Inc,15064,Technology,Software - Application,FALSE,FALSE,FALSE
PCAR,PACCAR Inc,14016,Industrials,Farm & Heavy Construction Machinery,FALSE,FALSE,FALSE
PCG,PG&E Corp,28294,Utilities,Utilities - Regulated Electric,TRUE,FALSE,FALSE
PEG,Public Service Enterprise Group Inc,14085,Utilities,Utilities - Regulated Electric,TRUE,FALSE,FALSE
PEP,PepsiCo Inc,38325,Consumer Defensive,Beverages - Non-Alcoholic,FALSE,FALSE,FALSE
PFE,Pfizer Inc,26817,Healthcare,Drug Manufacturers - General,FALSE,FALSE,FALSE
PFG,Principal Financial Group Inc,8431,Financial Services,Asset Management,FALSE,FALSE,FALSE
PG,Procter & Gamble Co,27274,Consumer Defensive,Household & Personal Products,FALSE,FALSE,FALSE
PGR,Progressive Corp,13689,Financial Services,Insurance - Property & Casualty,FALSE,FALSE,FALSE
PH,Parker Hannifin Corp,21898,Industrials,Specialty Industrial Machinery,FALSE,TRUE,FALSE
PHM,PulteGroup Inc,13499,Consumer Cyclical,Residential Construction,FALSE,FALSE,FALSE
PKG,Packaging Corp of America,9065,Consumer Cyclical,Packaging & Containers,FALSE,FALSE,FALSE
PLD,Prologis Inc,9863,Real Estate,REIT - Industrial,FALSE,FALSE,FALSE
PLTR,Palantir Technologies Inc,1514,Technology,Software - Infrastructure,FALSE,FALSE,FALSE
PM,Philip Morris International Inc,6080,Consumer Defensive,Tobacco,FALSE,FALSE,TRUE
PNC,PNC Financial Services Group Inc,13547,Financial Services,Banks - Regional,FALSE,FALSE,FALSE
PNR,Pentair PLC,18902,Industrials,Specialty Industrial Machinery,FALSE,FALSE,FALSE
